intent;question;answer;category;tags
city_history;Πες μου λίγα λόγια για την ιστορία της Κορίνθου.;Η Κόρινθος είναι μια ιστορική πόλη με 4.000 χρόνια ζωής. Υπήρξε το μεγαλύτερο εμπορικό κέντρο της Αρχαίας Ελλάδας (9ος-8ος αι. π.Χ.), ανέπτυξε τον Κορινθιακό αρχιτεκτονικό ρυθμό, καταστράφηκε από τους Ρωμαίους (146 π.Χ.) και ανοικοδομήθηκε από τον Ιούλιο Καίσαρα (44 π.Χ.). Έγινε σημαντικό κέντρο του Χριστιανισμού με τον Απόστολο Παύλο και μετά από αιώνες κατοχής απελευθερώθηκε το 1822. Σεισμοί (1858, 1928) τη μετέφεραν στη σημερινή της θέση, όπου παραμένει ζωντανή και σύγχρονη πόλη.;Δήμος – Γενικά;ιστορία, πόλη, αρχαιότητα, Κόρινθος;
mayor_name;"Ποιος είναι ο Δήμαρχος Κορινθίων;";Ο Δήμαρχος Κορινθίων είναι ο Νίκος Σταυρέλης.;Δήμαρχος & Διοίκηση;δήμαρχος, όνομα, διοίκηση;
mayor_phone;"Ποιο είναι το τηλέφωνο του Δημάρχου;";Γραμματεία Δημάρχου: 27413-61001, 27413-61041;Δήμαρχος & Διοίκηση;τηλέφωνο, δήμαρχος, επικοινωνία;
mayor_email;"Ποιο είναι το email του Δημάρχου;";Email Δημάρχου: grafeiodimarxou@korinthos.gr;Δήμαρχος & Διοίκηση;email, δήμαρχος, επικοινωνία;
mayor_press_office;"Ποιο είναι το email του Γραφείου Τύπου του Δημάρχου;";Γραφείο Τύπου Δημάρχου: τηλ. 27413-61045, email grafeiotypou@korinthos.gr;Δήμαρχος & Διοίκηση;γραφείο τύπου, δήμαρχος, email, τηλέφωνο;
mayor_contact_link;"Πού μπορώ να βρω στοιχεία επικοινωνίας για τον Δήμαρχο;";Όλα τα στοιχεία επικοινωνίας του Δημάρχου και των Αντιδημάρχων βρίσκονται στη σελίδα: korinthos.gr/epikoinwnia/;Δήμαρχος & Διοίκηση;δήμαρχος, επαφή, ιστοσελίδα, σύνδεσμος;
deputy_culture;"Ποιος είναι ο Αντιδήμαρχος Πολιτισμού;";Ο Αντιδήμαρχος Πολιτισμού είναι ο Παναγιώτης Λαμπρινός. Τηλέφωνο: 27410-20109, Email: p.labrinos@korinthos.gr;Δήμαρχος & Διοίκηση;αντιδήμαρχος, πολιτισμός, επικοινωνία;
deputy_agriculture;"Ποιος είναι ο Αντιδήμαρχος Αγροτικής Πολιτικής και Νεκροταφείων;";Ο Αντιδήμαρχος Αγροτικής Πολιτικής και Νεκροταφείων είναι ο Κωνσταντίνος Αγγέλου.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, αγροτική πολιτική, νεκροταφεία;
deputy_sports;"Ποιος είναι ο Αντιδήμαρχος Αθλητισμού;";Ο Αντιδήμαρχος Αθλητισμού είναι ο Σταύρος Δανιήλ. Email: s.daniil@korinthos.gr;Δήμαρχος & Διοίκηση;αντιδήμαρχος, αθλητισμός, email;
deputy_education;"Ποιος είναι ο Αντιδήμαρχος Παιδείας;";Ο Αντιδήμαρχος Παιδείας είναι ο Κωνσταντίνος Δημάκος.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, παιδεία;
deputy_daily_life;"Ποιος είναι ο Αντιδήμαρχος Καθημερινότητας;";Ο Αντιδήμαρχος Καθημερινότητας είναι ο Ιωάννης Καρασάββας.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, καθαριότητα, καθημερινότητα;
deputy_social_policy;"Ποιος είναι ο Αντιδήμαρχος Κοινωνικής Πολιτικής;";Ο Αντιδήμαρχος Κοινωνικής Πολιτικής είναι ο Χρήστος Μελέτης.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, κοινωνική πολιτική;
deputy_urban_planning;"Ποιος είναι ο Αντιδήμαρχος Πολεοδομίας;";Ο Αντιδήμαρχος Πολεοδομίας είναι ο Βασίλειος Πανταζής.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, πολεοδομία;
deputy_digital_policy;"Ποιος είναι ο Αντιδήμαρχος Ψηφιακής Πολιτικής και Χρηματοδοτούμενων Προγραμμάτων;";Ο Αντιδήμαρχος Ψηφιακής Πολιτικής και Χρηματοδοτούμενων Προγραμμάτων είναι ο Βαγγέλης Παπαϊωάννου.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, ψηφιακή πολιτική, προγράμματα;
deputy_cleanliness;"Ποιος είναι ο Αντιδήμαρχος Καθαριότητας;";Ο Αντιδήμαρχος Καθαριότητας είναι ο Ανδρέας Πούλος.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, καθαριότητα;
deputy_green_commerce;"Ποιος είναι ο Αντιδήμαρχος Πρασίνου και Εμπορίου;";Ο Αντιδήμαρχος Πρασίνου και Εμπορίου είναι ο Δημήτριος Τζαναβάρας.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, πράσινο, εμπόριο;
deputy_admin_finance;"Ποιος είναι ο Αντιδήμαρχος Διοικητικών και Οικονομικών Υπηρεσιών;";Ο Αντιδήμαρχος Διοικητικών και Οικονομικών Υπηρεσιών είναι ο Ιωάννης Τσάκωνας.;Δήμαρχος & Διοίκηση;αντιδήμαρχος, διοικητικά, οικονομικά;
deputy_tourism;"Ποιος είναι ο Αντιδήμαρχος Τουρισμού;";Η Αντιδήμαρχος Τουρισμού είναι η Δήμητρα Τσουλούχα. Τηλέφωνο: 27410-76353, Email: d.tsouloucha@korinthos.gr;Δήμαρχος & Διοίκηση;αντιδήμαρχος, τουρισμός, επικοινωνία;
